万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
000004.SZ,000004,20251209,91500010,0,267,0,S,107800,36700,
000004.SZ,000004,20251209,91500060,0,2305,0,S,114800,12000,
000004.SZ,000004,20251209,91500060,0,2325,0,S,116100,12000,
000004.SZ,000004,20251209,91500060,0,2326,0,S,117400,12000,
000004.SZ,000004,20251209,91500080,0,10716,0,S,119200,1000,
000004.SZ,000004,20251209,91500080,0,12179,0,B,107900,200,
000004.SZ,000004,20251209,91500080,0,12181,0,S,119200,100,
000004.SZ,000004,20251209,91500100,0,16957,0,S,117800,2100,
000004.SZ,000004,20251209,91500100,0,16958,0,S,118800,2100,
000004.SZ,000004,20251209,91500100,0,18018,0,S,114900,300,
000004.SZ,000004,20251209,91500100,0,18019,0,S,115800,300,
000004.SZ,000004,20251209,91500130,0,29077,0,B,111500,200,
000004.SZ,000004,20251209,91500140,0,29747,0,S,119000,600,
000004.SZ,000004,20251209,91500140,0,29971,0,B,112500,200,
000004.SZ,000004,20251209,91500160,0,38039,0,S,114500,500,
000004.SZ,000004,20251209,91500180,0,42960,0,B,114000,8900,
000004.SZ,000004,20251209,91500220,0,55168,0,S,119200,1000,
000004.SZ,000004,20251209,91500220,0,55180,0,B,108000,100,
000004.SZ,000004,20251209,91500270,0,62164,0,S,119200,10000,
000004.SZ,000004,20251209,91500280,0,64370,0,S,116000,5000,
000004.SZ,000004,20251209,91500290,0,65747,0,S,117400,3800,
000004.SZ,000004,20251209,91500320,0,71697,0,B,107800,10000,
000004.SZ,000004,20251209,91500340,0,74281,0,S,119200,100,
000004.SZ,000004,20251209,91500360,0,77109,0,B,108600,1000,
000004.SZ,000004,20251209,91500800,0,121163,0,S,114900,500,
000004.SZ,000004,20251209,91500810,0,122062,0,S,118000,900,
000004.SZ,000004,20251209,91500860,0,125878,0,S,119100,7800,
000004.SZ,000004,20251209,91501010,0,135696,0,B,112200,900,
000004.SZ,000004,20251209,91501010,0,135702,0,S,118100,900,
000004.SZ,000004,20251209,91501030,0,137509,0,S,113500,2900,
000004.SZ,000004,20251209,91501130,0,143777,0,B,110300,2500,
000004.SZ,000004,20251209,91501130,0,143791,0,B,107800,2500,
000004.SZ,000004,20251209,91501160,0,145565,0,B,113000,100,
000004.SZ,000004,20251209,91501340,0,156903,0,S,115800,700,
000004.SZ,000004,20251209,91501340,0,156904,0,S,116800,700,
000004.SZ,000004,20251209,91501430,0,161854,0,B,107800,1000,
000004.SZ,000004,20251209,91501480,0,165305,0,S,110000,100,
000004.SZ,000004,20251209,91501530,0,168981,0,S,119200,2000,
000004.SZ,000004,20251209,91501720,0,180820,0,S,118100,7100,
000004.SZ,000004,20251209,91501840,0,185833,0,B,110200,500,
000004.SZ,000004,20251209,91501990,0,192522,0,S,113500,900,
000004.SZ,000004,20251209,91502000,0,193130,0,S,119000,3300,
000004.SZ,000004,20251209,91502080,0,196882,0,S,119200,1500,
000004.SZ,000004,20251209,91502080,0,196883,0,S,118700,500,
000004.SZ,000004,20251209,91502080,0,196884,0,S,118400,500,
000004.SZ,000004,20251209,91502080,0,196894,0,S,118000,500,
000004.SZ,000004,20251209,91502080,0,196895,0,S,117500,500,
000004.SZ,000004,20251209,91502240,0,203676,0,B,111600,500,
000004.SZ,000004,20251209,91502250,0,204156,0,B,110500,500,
000004.SZ,000004,20251209,91502320,0,206531,0,S,119000,2000,
000004.SZ,000004,20251209,91502420,0,210129,0,B,108000,2000,
000004.SZ,000004,20251209,91502440,0,210928,0,B,110000,1000,
000004.SZ,000004,20251209,91502540,0,215768,0,S,119000,1100,
000004.SZ,000004,20251209,91502590,0,217963,0,S,115500,300,
000004.SZ,000004,20251209,91502680,0,221528,0,S,115700,8500,
000004.SZ,000004,20251209,91502690,0,221801,0,B,107800,100,
000004.SZ,000004,20251209,91502820,0,225200,0,S,119200,500,
000004.SZ,000004,20251209,91502920,0,227072,0,B,111500,100,
000004.SZ,000004,20251209,91503170,0,235031,0,S,116700,500,
000004.SZ,000004,20251209,91503500,0,242401,0,S,118800,600,
000004.SZ,000004,20251209,91503770,0,249460,0,B,109100,200,
000004.SZ,000004,20251209,91505610,0,269603,0,B,111800,200,
000004.SZ,000004,20251209,91505800,0,271283,0,S,115000,200,
000004.SZ,000004,20251209,91506220,0,273186,0,S,119200,1800,
000004.SZ,000004,20251209,91506560,0,274779,0,B,111800,30000,
000004.SZ,000004,20251209,91512610,0,287723,0,B,110000,500,
000004.SZ,000004,20251209,91524360,0,290441,0,S,119200,2000,
000004.SZ,000004,20251209,91530310,0,291658,0,B,108000,1000,
000004.SZ,000004,20251209,91542330,0,294457,0,S,119100,600,
000004.SZ,000004,20251209,91642090,0,310506,0,S,119200,1500,
000004.SZ,000004,20251209,91730310,0,324570,0,S,119200,1200,
000004.SZ,000004,20251209,91855860,0,353051,0,S,113000,300,
000004.SZ,000004,20251209,91911370,0,358846,0,S,119000,7800,
000004.SZ,000004,20251209,91917300,0,361147,0,S,114000,3000,
000004.SZ,000004,20251209,91936800,0,368384,0,S,116300,300,
000004.SZ,000004,20251209,91942530,0,370466,0,S,114000,2800,
000004.SZ,000004,20251209,92001950,0,378098,0,S,116000,5000,
000004.SZ,000004,20251209,92011770,0,381701,0,S,116600,5000,
000004.SZ,000004,20251209,92022060,0,385003,0,B,108300,100,
000004.SZ,000004,20251209,92122030,0,406923,0,S,117700,5000,
000004.SZ,000004,20251209,92127380,0,409016,0,S,114000,100,
000004.SZ,000004,20251209,92129670,0,409963,0,B,111000,10200,
000004.SZ,000004,20251209,92206410,0,425689,0,B,111800,2000,
000004.SZ,000004,20251209,92211660,0,428001,0,S,115500,6700,
000004.SZ,000004,20251209,92227760,0,435239,0,B,109000,2000,
000004.SZ,000004,20251209,92230220,0,436433,0,S,118000,200,
000004.SZ,000004,20251209,92241510,0,441505,0,S,115500,1000,
000004.SZ,000004,20251209,92246040,0,443813,0,S,119200,2000,
000004.SZ,000004,20251209,92253700,0,447468,0,B,107800,500,
000004.SZ,000004,20251209,92254130,0,447672,0,S,119200,800,
000004.SZ,000004,20251209,92303680,0,452231,0,S,119200,100,
000004.SZ,000004,20251209,92304720,0,452752,0,S,119000,200,
000004.SZ,000004,20251209,92319240,0,460091,0,S,116000,100,
000004.SZ,000004,20251209,92333950,0,468151,0,S,118800,500,
000004.SZ,000004,20251209,92334970,0,468706,0,S,115000,200,
000004.SZ,000004,20251209,92339160,0,471130,0,B,108000,5000,
000004.SZ,000004,20251209,92346010,0,475082,0,S,107800,200,
000004.SZ,000004,20251209,92357040,0,481701,0,S,107800,100,
000004.SZ,000004,20251209,92404700,0,486724,0,B,114000,1100,
000004.SZ,000004,20251209,92405360,0,487167,0,S,113800,2700,
000004.SZ,000004,20251209,92407410,0,488604,0,S,115000,5000,
000004.SZ,000004,20251209,92412770,0,492470,0,S,113900,2000,
000004.SZ,000004,20251209,92421580,0,499714,0,S,118200,300,
000004.SZ,000004,20251209,92434170,0,511184,0,S,113600,2000,
000004.SZ,000004,20251209,92435290,0,512126,0,S,113900,4600,
000004.SZ,000004,20251209,92436440,0,513112,0,S,113900,5000,
000004.SZ,000004,20251209,92450690,0,529406,0,S,113500,6600,
000004.SZ,000004,20251209,92455200,0,536134,0,B,115000,3300,
000004.SZ,000004,20251209,92456270,0,538665,0,S,112700,2400,
000004.SZ,000004,20251209,92456930,0,540738,0,S,112400,3600,
000004.SZ,000004,20251209,92458370,0,545715,0,S,113800,5300,
000004.SZ,000004,20251209,93000000,0,642143,0,S,116800,4400,
000004.SZ,000004,20251209,93000040,0,646829,0,S,113700,5000,
000004.SZ,000004,20251209,93000050,0,647604,0,S,113500,8400,
000004.SZ,000004,20251209,93000050,0,647797,0,B,110000,200,
000004.SZ,000004,20251209,93000100,0,681350,0,S,115000,200,
000004.SZ,000004,20251209,93000100,0,681979,0,S,115800,200,
000004.SZ,000004,20251209,93000110,0,689693,0,S,114700,2800,
000004.SZ,000004,20251209,93000120,0,691489,0,B,113000,200,
000004.SZ,000004,20251209,93000130,0,697584,0,S,116600,200,
000004.SZ,000004,20251209,93000130,0,697843,0,S,117400,300,
000004.SZ,000004,20251209,93000130,0,699097,0,S,118200,300,
000004.SZ,000004,20251209,93000130,0,699480,0,S,119100,300,
000004.SZ,000004,20251209,93000130,0,699519,0,B,112000,1000,
000004.SZ,000004,20251209,93000130,0,699622,0,B,112100,200,
000004.SZ,000004,20251209,93000130,0,699813,0,B,111300,200,
000004.SZ,000004,20251209,93000140,0,706529,0,B,109200,50000,
000004.SZ,000004,20251209,93000150,0,713540,0,B,110500,200,
000004.SZ,000004,20251209,93000160,0,714415,0,B,109800,200,
000004.SZ,000004,20251209,93000160,0,715031,0,B,109000,200,
000004.SZ,000004,20251209,93000160,0,716714,0,B,111800,1100,
000004.SZ,000004,20251209,93000260,0,757340,0,B,107800,1200,
000004.SZ,000004,20251209,93000290,0,767350,0,B,111900,10000,
000004.SZ,000004,20251209,93000300,0,770281,0,S,119200,8500,
000004.SZ,000004,20251209,93000610,0,827178,0,S,119200,400,
000004.SZ,000004,20251209,93000720,0,845454,0,B,108800,1000,
000004.SZ,000004,20251209,93000770,0,852409,0,S,112900,500,
000004.SZ,000004,20251209,93000770,0,852824,0,S,116000,800,
000004.SZ,000004,20251209,93000820,0,859798,0,S,117300,3000,
000004.SZ,000004,20251209,93000820,0,860871,0,B,110000,5000,
000004.SZ,000004,20251209,93000860,0,866778,0,S,118900,1000,
000004.SZ,000004,20251209,93000940,0,878730,0,B,110000,1000,
000004.SZ,000004,20251209,93000950,0,879685,0,B,112200,10000,
000004.SZ,000004,20251209,93001010,0,889065,0,S,119200,200,
000004.SZ,000004,20251209,93001020,0,890935,0,S,113000,7300,
000004.SZ,000004,20251209,93001040,0,893965,0,B,111900,100,
000004.SZ,000004,20251209,93001250,0,916348,0,B,112200,1200,
000004.SZ,000004,20251209,93001390,0,927210,0,S,113400,5400,
000004.SZ,000004,20251209,93001480,0,935240,0,S,119200,1300,
000004.SZ,000004,20251209,93001850,0,967459,0,B,113500,600,
000004.SZ,000004,20251209,93001850,0,967466,0,B,113000,400,
000004.SZ,000004,20251209,93001900,0,971977,0,B,108000,100,
000004.SZ,000004,20251209,93002360,0,1005980,0,B,111200,2000,
000004.SZ,000004,20251209,93002420,0,1009126,0,B,112200,1000,
000004.SZ,000004,20251209,93002660,0,1024388,0,B,112200,300,
000004.SZ,000004,20251209,93002920,0,1039513,0,S,114700,5000,
000004.SZ,000004,20251209,93003180,0,1056933,0,B,112100,500,
000004.SZ,000004,20251209,93004620,0,1123938,0,S,115000,200,
000004.SZ,000004,20251209,93004700,0,1127378,0,B,110300,1000,
000004.SZ,000004,20251209,93004950,0,1136534,0,B,111500,3000,
000004.SZ,000004,20251209,93005050,0,1142596,0,S,118000,300,
000004.SZ,000004,20251209,93005080,0,1143725,0,B,113000,10000,
000004.SZ,000004,20251209,93005080,0,1143734,0,B,111900,10000,
000004.SZ,000004,20251209,93006110,0,1172023,0,B,113500,1000,
000004.SZ,000004,20251209,93006840,0,1193638,0,B,113000,400,
000004.SZ,000004,20251209,93006960,0,1196756,0,S,117000,200,
000004.SZ,000004,20251209,93007050,0,1199835,0,S,113800,1200,
000004.SZ,000004,20251209,93009830,0,1254145,0,S,114000,45900,
000004.SZ,000004,20251209,93011890,0,1284859,0,B,113400,2500,
000004.SZ,000004,20251209,93012220,0,1288388,0,S,113400,300,
000004.SZ,000004,20251209,93012220,0,1288421,0,S,113400,1000,
000004.SZ,000004,20251209,93012260,0,1289424,0,S,113400,2500,
000004.SZ,000004,20251209,93017940,0,1377429,0,B,113000,5300,
000004.SZ,000004,20251209,93019360,0,1400219,0,B,113500,400,
000004.SZ,000004,20251209,93022020,0,1440085,0,S,113400,1500,
000004.SZ,000004,20251209,93023030,0,1455499,0,S,113500,200,
000004.SZ,000004,20251209,93024700,0,1478291,0,S,113300,2500,
000004.SZ,000004,20251209,93024850,0,1480847,0,S,113400,100,
000004.SZ,000004,20251209,93024850,0,1480848,0,S,113400,200,
000004.SZ,000004,20251209,93024850,0,1480849,0,S,113400,700,
000004.SZ,000004,20251209,93024890,0,1481193,0,S,113300,1500,
000004.SZ,000004,20251209,93025100,0,1484347,0,B,113400,400,
000004.SZ,000004,20251209,93025100,0,1484349,0,B,113000,500,
000004.SZ,000004,20251209,93025930,0,1497067,0,S,113000,100,
000004.SZ,000004,20251209,93027650,0,1519032,0,S,113000,3400,
000004.SZ,000004,20251209,93028930,0,1537483,0,S,113400,400,
000004.SZ,000004,20251209,93028980,0,1538415,0,B,112900,4800,
000004.SZ,000004,20251209,93029600,0,1546892,0,S,113600,200,
000004.SZ,000004,20251209,93029650,0,1547468,0,B,113400,400,
000004.SZ,000004,20251209,93033830,0,1611628,0,S,113200,1500,
000004.SZ,000004,20251209,93034980,0,1629464,0,S,113400,1500,
000004.SZ,000004,20251209,93035030,0,1630068,0,S,119200,5000,
000004.SZ,000004,20251209,93036750,0,1658021,0,S,113000,9900,
000004.SZ,000004,20251209,93037320,0,1668797,0,S,116900,1200,
000004.SZ,000004,20251209,93038790,0,1689951,0,S,113000,3000,
000004.SZ,000004,20251209,93039150,0,1695924,0,S,113500,4200,
000004.SZ,000004,20251209,93041490,0,1738673,0,B,113000,400,
000004.SZ,000004,20251209,93045530,0,1811838,0,B,113400,600,
000004.SZ,000004,20251209,93045530,0,1811842,0,B,113000,600,
000004.SZ,000004,20251209,93045720,0,1815356,0,S,113000,2400,
000004.SZ,000004,20251209,93053540,0,1923943,0,B,107800,500,
000004.SZ,000004,20251209,93056090,0,1958333,0,S,116000,2300,
000004.SZ,000004,20251209,93056640,0,1965107,0,B,113000,1200,
