万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000034.SZ,000034,20251209,91501190,152667,C,0, ,0,2100,0,33397,
000034.SZ,000034,20251209,91501270,157044,C,0, ,0,900,0,26759,
000034.SZ,000034,20251209,91501510,172446,C,0, ,0,200,172445,0,
000034.SZ,000034,20251209,91502310,211732,C,0, ,0,500,211731,0,
000034.SZ,000034,20251209,91506910,283321,C,0, ,0,600,283315,0,
000034.SZ,000034,20251209,91512620,294979,C,0, ,0,100,294973,0,
000034.SZ,000034,20251209,91513610,295580,C,0, ,0,500,0,281670,
000034.SZ,000034,20251209,91514400,295776,C,0, ,0,11100,0,131963,
000034.SZ,000034,20251209,91514410,295777,C,0, ,0,33500,0,131964,
000034.SZ,000034,20251209,91514410,295787,C,0, ,0,6500,0,165089,
000034.SZ,000034,20251209,91514450,295799,C,0, ,0,23500,0,129204,
000034.SZ,000034,20251209,91515940,296087,C,0, ,0,8000,288242,0,
000034.SZ,000034,20251209,91522520,297230,C,0, ,0,300,235593,0,
000034.SZ,000034,20251209,91526890,298078,C,0, ,0,15200,0,15723,
000034.SZ,000034,20251209,91531730,299123,C,0, ,0,1000,263886,0,
000034.SZ,000034,20251209,91532380,299294,C,0, ,0,500,0,247673,
000034.SZ,000034,20251209,91537850,300551,C,0, ,0,21100,0,1925,
000034.SZ,000034,20251209,91538320,300658,C,0, ,0,29400,0,409,
000034.SZ,000034,20251209,91542040,301499,C,0, ,0,1400,297462,0,
000034.SZ,000034,20251209,91545500,302279,C,0, ,0,100,258991,0,
000034.SZ,000034,20251209,91548120,302986,C,0, ,0,2200,0,298826,
000034.SZ,000034,20251209,91548270,303053,C,0, ,0,200,0,297795,
000034.SZ,000034,20251209,91555510,305086,C,0, ,0,700,98521,0,
000034.SZ,000034,20251209,91601160,306683,C,0, ,0,200,0,274166,
000034.SZ,000034,20251209,91606480,308305,C,0, ,0,100,0,307734,
000034.SZ,000034,20251209,91606480,308306,C,0, ,0,100,0,307735,
000034.SZ,000034,20251209,91606480,308307,C,0, ,0,100,0,307736,
000034.SZ,000034,20251209,91606480,308308,C,0, ,0,100,0,307737,
000034.SZ,000034,20251209,91607080,308475,C,0, ,0,38000,0,105460,
000034.SZ,000034,20251209,91608400,308831,C,0, ,0,700,145892,0,
000034.SZ,000034,20251209,91612980,310085,C,0, ,0,2200,0,306633,
000034.SZ,000034,20251209,91619840,311723,C,0, ,0,200,0,305020,
000034.SZ,000034,20251209,91620520,311900,C,0, ,0,400,308890,0,
000034.SZ,000034,20251209,91621280,312086,C,0, ,0,500,0,304496,
000034.SZ,000034,20251209,91623500,312613,C,0, ,0,800,264940,0,
000034.SZ,000034,20251209,91632900,315306,C,0, ,0,200,312184,0,
000034.SZ,000034,20251209,91634010,315614,C,0, ,0,200,241226,0,
000034.SZ,000034,20251209,91644610,318443,C,0, ,0,100,266652,0,
000034.SZ,000034,20251209,91646410,318923,C,0, ,0,100,0,309898,
000034.SZ,000034,20251209,91646760,319021,C,0, ,0,8800,310717,0,
000034.SZ,000034,20251209,91648620,319524,C,0, ,0,300,0,60369,
000034.SZ,000034,20251209,91654070,321066,C,0, ,0,200,0,313739,
000034.SZ,000034,20251209,91655310,321430,C,0, ,0,1000,313845,0,
000034.SZ,000034,20251209,91656470,321752,C,0, ,0,100,316255,0,
000034.SZ,000034,20251209,91659090,322531,C,0, ,0,100,319009,0,
000034.SZ,000034,20251209,91700350,322897,C,0, ,0,200,40788,0,
000034.SZ,000034,20251209,91703840,323952,C,0, ,0,1000,308970,0,
000034.SZ,000034,20251209,91710440,325889,C,0, ,0,100,315069,0,
000034.SZ,000034,20251209,91713660,326825,C,0, ,0,700,308962,0,
000034.SZ,000034,20251209,91717170,327878,C,0, ,0,900,0,100206,
000034.SZ,000034,20251209,91718920,328379,C,0, ,0,200,0,322777,
000034.SZ,000034,20251209,91719810,328636,C,0, ,0,100,312788,0,
000034.SZ,000034,20251209,91722660,329467,C,0, ,0,2200,214976,0,
000034.SZ,000034,20251209,91730460,331965,C,0, ,0,400,313465,0,
000034.SZ,000034,20251209,91731450,332284,C,0, ,0,7000,318747,0,
000034.SZ,000034,20251209,91744010,336212,C,0, ,0,600,0,35174,
000034.SZ,000034,20251209,91748010,337561,C,0, ,0,200,0,259117,
000034.SZ,000034,20251209,91806650,343537,C,0, ,0,300,323608,0,
000034.SZ,000034,20251209,91816360,346631,C,0, ,0,600,42563,0,
000034.SZ,000034,20251209,91820380,348026,C,0, ,0,600,0,329149,
000034.SZ,000034,20251209,91821310,348339,C,0, ,0,3400,0,202572,
000034.SZ,000034,20251209,91825540,349726,C,0, ,0,100,346347,0,
000034.SZ,000034,20251209,91842690,355628,C,0, ,0,400,0,211562,
000034.SZ,000034,20251209,91846580,356897,C,0, ,0,200,279327,0,
000034.SZ,000034,20251209,91848410,357517,C,0, ,0,100,99215,0,
000034.SZ,000034,20251209,91849140,357755,C,0, ,0,2400,0,324320,
000034.SZ,000034,20251209,91853850,359458,C,0, ,0,5200,185236,0,
000034.SZ,000034,20251209,91858640,361197,C,0, ,0,2800,316616,0,
000034.SZ,000034,20251209,91900630,361897,C,0, ,0,7000,215119,0,
000034.SZ,000034,20251209,91900970,362000,C,0, ,0,2300,0,22473,
000034.SZ,000034,20251209,91912610,366349,C,0, ,0,100,0,361293,
000034.SZ,000034,20251209,91913410,366629,C,0, ,0,1000,173314,0,
000034.SZ,000034,20251209,91913970,366849,C,0, ,0,200,0,330602,
000034.SZ,000034,20251209,91914570,367044,C,0, ,0,2900,0,1172,
000034.SZ,000034,20251209,91917000,367942,C,0, ,0,1000,348424,0,
