万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号
600048.SH,600048,20251209,92500420,112244,,,B,64900,100,178421,288253
600048.SH,600048,20251209,92500420,112245,,,B,64900,200,178421,305729
600048.SH,600048,20251209,92500420,112246,,,B,64900,100,178421,370393
600048.SH,600048,20251209,92500420,112247,,,B,64900,200,200843,370393
600048.SH,600048,20251209,92500420,112248,,,B,64900,900,246081,370393
600048.SH,600048,20251209,92500420,112249,,,B,64900,1200,262827,372161
600048.SH,600048,20251209,92500420,112250,,,B,64900,3000,262827,372268
600048.SH,600048,20251209,92500420,112251,,,B,64900,500,262827,372674
600048.SH,600048,20251209,92500420,112252,,,B,64900,2500,286762,372674
600048.SH,600048,20251209,92500420,112253,,,B,64900,900,286762,374397
600048.SH,600048,20251209,92500420,112254,,,B,64900,300,287849,374397
600048.SH,600048,20251209,92500420,112255,,,B,64900,1800,310946,374397
600048.SH,600048,20251209,92500420,112256,,,B,64900,200,310946,376020
600048.SH,600048,20251209,92500420,112257,,,B,64900,1000,342262,376020
600048.SH,600048,20251209,92500420,112258,,,B,64900,1300,342262,379080
600048.SH,600048,20251209,92500420,112259,,,B,64900,4700,372535,379080
600048.SH,600048,20251209,92500420,112260,,,B,64900,2100,372535,381361
600048.SH,600048,20251209,92500420,112261,,,B,64900,900,375596,381361
600048.SH,600048,20251209,92500420,112262,,,B,64900,800,375596,381557
600048.SH,600048,20251209,92500420,112263,,,B,64900,200,246824,381557
600048.SH,600048,20251209,92500420,112264,,,B,64900,1000,28630,381557
600048.SH,600048,20251209,92500420,112265,,,B,64900,300,165603,381557
600048.SH,600048,20251209,92500420,112266,,,B,64900,300,235625,381557
600048.SH,600048,20251209,92500420,112267,,,B,64900,100,105719,381557
600048.SH,600048,20251209,92500420,112268,,,B,64900,300,217459,381557
600048.SH,600048,20251209,92500420,112269,,,B,64900,1000,217459,378571
600048.SH,600048,20251209,92500420,112270,,,B,64900,500,265667,378571
600048.SH,600048,20251209,92500420,112271,,,B,64900,3000,265667,378164
600048.SH,600048,20251209,92500420,112272,,,B,64900,100,265667,345543
600048.SH,600048,20251209,92500420,112273,,,B,64900,500,270700,345543
600048.SH,600048,20251209,92500420,112274,,,B,64900,600,286671,345543
600048.SH,600048,20251209,92500420,112275,,,B,64900,200,287533,345543
600048.SH,600048,20251209,92500420,112276,,,B,64900,100,309118,345543
600048.SH,600048,20251209,92500420,112277,,,B,64900,3000,309118,367722
600048.SH,600048,20251209,92500420,112278,,,B,64900,3000,309118,370597
600048.SH,600048,20251209,92500420,112279,,,B,64900,3000,309118,371736
600048.SH,600048,20251209,92500420,112280,,,B,64900,3000,309118,371765
600048.SH,600048,20251209,92500420,112281,,,B,64900,1200,309118,374475
600048.SH,600048,20251209,92500420,112282,,,B,64900,3000,309118,375379
