万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
600059.SH,600059,20251209,84517000,0,0,0,0,0,,,0,0,0,0,0,91100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600059.SH,600059,20251209,91402000,0,0,0,0,0,,,0,0,0,0,0,91100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600059.SH,600059,20251209,91502000,0,0,0,0,0,,,0,0,0,0,0,91100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98750,89330,6400,1500,0,0,0,0,0,
600059.SH,600059,20251209,91505000,0,0,0,0,0,,,0,0,0,0,0,91100,91300,0,0,0,0,0,0,0,0,0,100,900,0,0,0,0,0,0,0,0,91300,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,96500,87540,239200,24000,0,0,0,0,0,
600059.SH,600059,20251209,91508000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,1000,2000,0,0,0,0,0,0,0,0,96360,88190,339400,39500,0,0,0,0,0,
600059.SH,600059,20251209,91511000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,1000,2100,0,0,0,0,0,0,0,0,96220,88460,479000,64700,0,0,0,0,0,
600059.SH,600059,20251209,91514000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,1000,2100,0,0,0,0,0,0,0,0,95950,89260,627300,131500,0,0,0,0,0,
600059.SH,600059,20251209,91517000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,1700,2300,0,0,0,0,0,0,0,0,95800,88670,739200,161600,0,0,0,0,0,
600059.SH,600059,20251209,91520000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,4000,700,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,95810,85790,778800,382800,0,0,0,0,0,
600059.SH,600059,20251209,91523000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,4200,500,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,95870,85820,848700,394400,0,0,0,0,0,
600059.SH,600059,20251209,91526000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,4200,500,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,95940,85910,907400,408100,0,0,0,0,0,
600059.SH,600059,20251209,91535000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,4200,500,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,95940,85910,907500,408100,0,0,0,0,0,
600059.SH,600059,20251209,91538000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,4200,500,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,95980,85920,921500,409100,0,0,0,0,0,
600059.SH,600059,20251209,91541000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,4200,500,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,95980,86040,921600,419100,0,0,0,0,0,
600059.SH,600059,20251209,91544000,0,0,0,0,0,,,0,0,0,0,0,91100,91000,0,0,0,0,0,0,0,0,0,4200,500,0,0,0,0,0,0,0,0,91000,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,95980,86040,921800,419300,0,0,0,0,0,
