万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600061.SH,600061,20251209,91400580,0,0,S,I,0,0,
600061.SH,600061,20251209,91500440,0,2651,A,S,78300,4000,
600061.SH,600061,20251209,91500440,0,2789,A,S,79800,400,
600061.SH,600061,20251209,91501220,0,3357,A,S,79000,100,
600061.SH,600061,20251209,91501250,0,3526,A,S,78900,4000,
600061.SH,600061,20251209,91501250,0,3533,A,S,76900,4000,
600061.SH,600061,20251209,91501250,0,3558,A,S,78800,2000,
600061.SH,600061,20251209,91501250,0,3559,A,S,82900,2000,
600061.SH,600061,20251209,91501250,0,3607,A,S,79900,2000,
600061.SH,600061,20251209,91501420,0,4025,A,S,78000,2000,
600061.SH,600061,20251209,91501490,0,4897,A,S,79900,2000,
600061.SH,600061,20251209,91501670,0,5184,A,S,82900,100,
600061.SH,600061,20251209,91501710,0,5794,A,S,80600,1400,
600061.SH,600061,20251209,91501710,0,6023,A,S,73700,1900,
600061.SH,600061,20251209,91501750,0,6118,A,B,76100,100,
600061.SH,600061,20251209,91501750,0,6149,A,S,77800,2000,
600061.SH,600061,20251209,91501750,0,6488,A,B,75000,2000,
600061.SH,600061,20251209,91501750,0,6530,A,B,74000,2000,
600061.SH,600061,20251209,91501790,0,6720,A,B,74000,2000,
600061.SH,600061,20251209,91501790,0,7167,A,S,78600,800,
600061.SH,600061,20251209,91501790,0,7290,A,B,74000,900,
600061.SH,600061,20251209,91501790,0,7711,A,B,69000,500,
600061.SH,600061,20251209,91501860,0,8234,A,S,79900,400,
600061.SH,600061,20251209,91501860,0,8320,A,S,83600,300,
600061.SH,600061,20251209,91501860,0,8708,A,B,74900,500,
600061.SH,600061,20251209,91501860,0,9262,A,S,81800,5000,
600061.SH,600061,20251209,91501860,0,9455,A,S,79700,100,
600061.SH,600061,20251209,91501860,0,9456,A,B,72300,100,
600061.SH,600061,20251209,91501980,0,9813,A,S,78800,1000,
600061.SH,600061,20251209,91501980,0,9979,A,S,83600,1300,
600061.SH,600061,20251209,91501980,0,10147,A,S,81800,1000,
600061.SH,600061,20251209,91501980,0,10438,A,S,78000,700,
