SecurityID,VOLUME_RATIO,ACT,L_ACT,M_ACT,S_ACT,X_ACT,XLS_ORDER_RATIO,L_ORDER_RATIO,M_ORDER_RATIO,S_ORDER_RATIO
000001.SZ,1.854241213,-0.369543449,-0.300610286,-0.374946624,-0.414226416,-0.114361398,0.175967302,0.344028103,0.299428988,0.180575607
000002.SZ,3.675572479,-0.397691366,-0.302466584,-0.39790417,-0.411536651,-0.640607603,0.190758566,0.279114954,0.309608563,0.220517917
000004.SZ,1.437376865,-0.009503184,0.482923539,-0.195008445,0.061701228,,,0.196113355,0.484387524,0.319499121
000006.SZ,1.168450482,-0.085739941,-0.106582018,-0.151415632,-0.044523264,,0.045068626,0.288639332,0.35779335,0.308498691
000007.SZ,3.053958666,-0.108636189,-0.362844303,-0.203799938,-0.035189985,,0.069108214,0.21361713,0.36533396,0.351940696
000008.SZ,2.73243523,-0.407708756,-0.574512098,-0.387878632,-0.394875927,,0.099192678,0.231288355,0.301779605,0.367739362
000009.SZ,2.784379292,-0.052289479,-0.037863514,-0.127457864,-0.066682405,1,0.128715146,0.279326865,0.301526944,0.290431046
000010.SZ,0.875033004,-0.320122839,-0.306789503,-0.344097735,-0.31080193,,0.06914084,0.217598768,0.31278075,0.400479642
000011.SZ,1.395426201,-0.104025427,1,-0.023443497,-0.164277037,,0.023400944,0.116532896,0.425104934,0.434961226
000012.SZ,2.426360725,-0.184185624,0.48487049,0.064458802,-0.234711653,,0.027555883,0.131258531,0.300976034,0.540209552
000014.SZ,1.373015177,-0.066767622,0.037714624,-0.108623161,-0.059862683,,0.050325445,0.231900888,0.338720416,0.379053251
000016.SZ,0.970340697,0.099766515,0.209278423,0.115988876,0.071273685,1,0.077762318,0.236359906,0.333923188,0.351954587
000017.SZ,6.627927742,-0.190407735,-0.018240243,-0.259815921,-0.182968463,,0.022909826,0.216006089,0.329218594,0.431865491
000019.SZ,6.509092906,-0.094796488,0.314711673,-0.096019814,-0.134080826,,0.023885227,0.229946898,0.35390952,0.392258355
000020.SZ,14.86054004,-0.053061834,0.32424097,-0.045235067,-0.138941535,1,0.149229233,0.183029776,0.322794708,0.344946283
000021.SZ,2.296257038,-0.085457904,-0.118932452,-0.092393285,-0.082760354,0.310619461,0.117676724,0.272767305,0.327905802,0.281650169
000025.SZ,3.344312556,-0.263357033,-0.193650724,-0.285269094,-0.252058937,-0.560845918,0.113612172,0.218478154,0.333779612,0.334130063
000026.SZ,3.524295432,-0.012042623,0.525859174,-0.068435889,-0.01781032,,0.024729416,0.230649638,0.381439206,0.36318174
000027.SZ,2.088075994,-0.436823553,-0.770175554,-0.447761396,-0.392163349,,0.108327746,0.272433605,0.317983987,0.301254662
000028.SZ,3.328285887,-0.382390627,-1,-0.460651569,-0.317821927,,0.061523716,0.19671399,0.31594026,0.425822033
000029.SZ,0.438109084,0.006656391,-0.223583666,-0.074877623,0.100226375,-0.571273039,0.367472402,0.222389974,0.202836713,0.20730091
000030.SZ,2.669908778,0.057097082,0.653709682,-0.140388976,-0.015119336,1,0.129362162,0.221334376,0.232740238,0.416563223
000031.SZ,3.853257061,-0.280043737,-0.361697465,-0.248613057,-0.285945408,,0.035591592,0.217877321,0.29117137,0.455359718
000032.SZ,3.629871189,-0.113241223,0.176109662,-0.135642939,-0.15893008,1,0.069493224,0.220639038,0.346673876,0.363193862
000034.SZ,4.170877215,-0.140628677,-0.013369987,-0.092907877,-0.177956887,-0.589451822,0.165486018,0.265593137,0.308911987,0.260008857
000035.SZ,1.854666218,-0.257071626,-0.491649993,-0.36079825,-0.190168236,-1,0.06554361,0.221270455,0.32716664,0.386019295
000036.SZ,1.099398223,0.01601867,-0.078211004,0.005650218,0.06064935,-1,0.095433144,0.291664498,0.303387307,0.309515051
000037.SZ,2.758109732,-0.211167809,0.671259057,-0.266047027,-0.224089827,,0.042451542,0.156263989,0.357377779,0.443906691
000039.SZ,5.021678057,-0.080310032,0.001204672,-0.12821839,-0.049189225,-0.369264455,0.124803879,0.259938377,0.336235674,0.27902207
000042.SZ,2.448962482,-0.041192693,-0.392806804,-0.228643429,0.045539853,,0.03781079,0.17716924,0.41059324,0.374426729
000045.SZ,0.709038113,-0.003654091,0.252755685,-0.00680192,-0.022502387,,0.056599928,0.185691157,0.344027192,0.413681723
000048.SZ,7.05909532,-0.160181319,-0.035400407,-0.173072202,-0.188422738,,0.059031697,0.300699947,0.357330013,0.282938344
000049.SZ,2.792316174,-0.186888241,-0.198575687,-0.24717393,-0.15765154,-1,0.057303966,0.237996757,0.307284979,0.397414299
000050.SZ,5.394817541,-0.175191226,-0.122141398,-0.235073381,-0.161506941,,0.078348069,0.172728684,0.337086634,0.411836613
000055.SZ,1.626939026,-0.17340315,0.328714352,-0.117662956,-0.239469274,,0.013202381,0.228753147,0.345719646,0.412324826
000056.SZ,6.094975007,0.000623989,0.208365027,0.225556022,-0.086613387,,0.033970326,0.207644076,0.354761374,0.403624223
000058.SZ,5.674297037,-0.119971421,0.074908282,-0.250769847,-0.097963862,-0.094965125,0.082245342,0.225687661,0.3301819,0.361885098
000059.SZ,1.387108489,-0.215963856,0.010269402,-0.308011617,-0.176237019,-1,0.091222867,0.17898685,0.376079794,0.353710488
000060.SZ,4.873083087,-0.212969588,-0.333126591,-0.239022448,-0.176481994,-0.283303744,0.107955371,0.256332074,0.310999656,0.324712899
000061.SZ,3.638297252,0.028672015,-0.265646851,-0.064568787,0.141225037,-0.026475025,0.062472039,0.25662793,0.341784214,0.339115817
000062.SZ,3.784084408,-0.149945025,-0.080167985,-0.142526546,-0.195782807,0.447196774,0.149061875,0.198422032,0.317095993,0.3354201
000063.SZ,6.033288808,-0.047723695,-0.070184283,-0.067593211,-0.021334697,-0.049319471,0.186211047,0.290590112,0.30276993,0.220428911
000065.SZ,6.286572089,-0.207778176,-0.046778039,-0.28073123,-0.239365612,1,0.126280778,0.268593354,0.311730139,0.293395729
000066.SZ,3.559636555,-0.221588897,0.094825651,-0.242754734,-0.241822233,-0.470394043,0.085193535,0.207919402,0.353367668,0.353519396
000068.SZ,7.094123765,-0.170692906,-0.32283304,-0.199994673,-0.154403289,,0.039503104,0.189388094,0.370411493,0.400697308
000069.SZ,5.643370572,-0.302758721,-0.295961668,-0.267431102,-0.329840852,,0.0707366,0.327637215,0.337590814,0.264035371
000070.SZ,5.960004785,-0.14864108,-0.070054644,-0.152570729,-0.184272725,0.073604841,0.165499605,0.246217648,0.300776324,0.287506423
000078.SZ,60.25527842,-0.10250207,-0.094862067,-0.070582763,-0.110857696,-0.627173596,0.074982392,0.208188445,0.331823291,0.385005871
000088.SZ,4.009246747,-0.267243578,-0.133058248,-0.376671666,-0.26324426,0.031078522,0.193748067,0.299156392,0.24913625,0.257959291
000089.SZ,5.497017893,-0.134014501,-0.243513819,-0.06245791,-0.059611026,-1,0.144532541,0.216412498,0.302569745,0.336485216
600000.SH,1.831303458,-0.278906439,-0.451353574,-0.169625405,-0.223783043,-0.702449775,0.265980485,0.249731106,0.278508299,0.20578011
600004.SH,5.311959383,-0.232670134,-0.052529133,-0.452228383,-0.148238709,-1,0.08405038,0.211498365,0.366202986,0.338248268
600006.SH,2.416582338,-0.289632566,-0.256862424,-0.287296262,-0.287265883,-1,0.102287553,0.25289287,0.346415144,0.298404433
