SecurityID,VOLUME_RATIO,ACT,L_ACT,M_ACT,S_ACT,X_ACT,XLS_ORDER_RATIO,L_ORDER_RATIO,M_ORDER_RATIO,S_ORDER_RATIO
000001.SZ,1.854241213,-0.261837376,-0.313211978,-0.204199654,-0.349649293,-0.63414642,0.175967302,0.344028103,0.299428988,0.180575607
000002.SZ,,,,,,,,,,
000004.SZ,,,,,,,,,,
000006.SZ,,,,,,,,,,
000007.SZ,,,,,,,,,,
000008.SZ,,,,,,,,,,
000009.SZ,,,,,,,,,,
000010.SZ,,,,,,,,,,
000011.SZ,,,,,,,,,,
000012.SZ,,,,,,,,,,
000014.SZ,,,,,,,,,,
000016.SZ,,,,,,,,,,
000017.SZ,,,,,,,,,,
000019.SZ,,,,,,,,,,
000020.SZ,,,,,,,,,,
000021.SZ,,,,,,,,,,
000025.SZ,,,,,,,,,,
000026.SZ,,,,,,,,,,
000027.SZ,,,,,,,,,,
000028.SZ,,,,,,,,,,
000029.SZ,,,,,,,,,,
000030.SZ,,,,,,,,,,
000031.SZ,,,,,,,,,,
000032.SZ,,,,,,,,,,
000034.SZ,,,,,,,,,,
000035.SZ,,,,,,,,,,
000036.SZ,,,,,,,,,,
000037.SZ,,,,,,,,,,
000039.SZ,,,,,,,,,,
000042.SZ,,,,,,,,,,
000045.SZ,,,,,,,,,,
000048.SZ,,,,,,,,,,
000049.SZ,,,,,,,,,,
000050.SZ,,,,,,,,,,
000055.SZ,,,,,,,,,,
000056.SZ,,,,,,,,,,
000058.SZ,,,,,,,,,,
000059.SZ,,,,,,,,,,
000060.SZ,,,,,,,,,,
000061.SZ,,,,,,,,,,
000062.SZ,,,,,,,,,,
000063.SZ,,,,,,,,,,
000065.SZ,,,,,,,,,,
000066.SZ,,,,,,,,,,
000068.SZ,,,,,,,,,,
000069.SZ,,,,,,,,,,
000070.SZ,,,,,,,,,,
000078.SZ,,,,,,,,,,
000088.SZ,,,,,,,,,,
000089.SZ,,,,,,,,,,
600000.SH,,,,,,,,,,
600004.SH,,,,,,,,,,
600006.SH,,,,,,,,,,
600007.SH,,,,,,,,,,
600008.SH,,,,,,,,,,
600009.SH,,,,,,,,,,
600010.SH,,,,,,,,,,
600011.SH,,,,,,,,,,
600012.SH,,,,,,,,,,
600015.SH,,,,,,,,,,
600016.SH,,,,,,,,,,
600017.SH,,,,,,,,,,
600018.SH,,,,,,,,,,
600019.SH,,,,,,,,,,
600020.SH,,,,,,,,,,
600021.SH,,,,,,,,,,
600022.SH,,,,,,,,,,
600023.SH,,,,,,,,,,
600025.SH,,,,,,,,,,
600026.SH,,,,,,,,,,
600027.SH,,,,,,,,,,
600028.SH,,,,,,,,,,
600029.SH,,,,,,,,,,
600030.SH,,,,,,,,,,
600031.SH,,,,,,,,,,
600032.SH,,,,,,,,,,
600033.SH,,,,,,,,,,
600035.SH,,,,,,,,,,
600036.SH,,,,,,,,,,
600037.SH,,,,,,,,,,
600038.SH,,,,,,,,,,
600039.SH,,,,,,,,,,
600048.SH,,,,,,,,,,
600050.SH,,,,,,,,,,
600051.SH,,,,,,,,,,
600052.SH,,,,,,,,,,
600053.SH,,,,,,,,,,
600054.SH,,,,,,,,,,
600055.SH,,,,,,,,,,
600056.SH,,,,,,,,,,
600057.SH,,,,,,,,,,
600058.SH,,,,,,,,,,
600059.SH,,,,,,,,,,
600060.SH,,,,,,,,,,
600061.SH,,,,,,,,,,
600062.SH,,,,,,,,,,
600063.SH,,,,,,,,,,
600064.SH,,,,,,,,,,
600066.SH,,,,,,,,,,
600067.SH,,,,,,,,,,
